Live|实时|即時
This channel reports 0 RPM; other fans or pumps may use separate channels.|此通道报告 0 RPM；其他风扇或水泵可能使用独立通道。|此通道回報 0 RPM；其他風扇或水泵可能使用獨立通道。
System Fan|系统风扇|系統風扇
System Fan 1|系统风扇 1|系統風扇 1
System Fan 2|系统风扇 2|系統風扇 2
Module 1|内存条 1|記憶體模組 1
Module 2|内存条 2|記憶體模組 2
Drive 1|硬盘 1|磁碟 1
Drive 2|硬盘 2|磁碟 2
NVMe · Composite Temperature|NVMe · 综合温度|NVMe · 綜合溫度
CPU Name|CPU 名称|CPU 名稱
GPU Name|GPU 名称|GPU 名稱
Memory Details|内存信息|記憶體資訊
Module 1 Label|内存条 1 名称|記憶體模組 1 名稱
Module 2 Label|内存条 2 名称|記憶體模組 2 名稱
NVMe Details|NVMe 信息|NVMe 資訊
Drive 1 Name|硬盘 1 名称|磁碟 1 名稱
Drive 2 Name|硬盘 2 名称|磁碟 2 名稱
Case / Motherboard|机箱 / 主板|機殼 / 主機板
CPU Fan Name|CPU 风扇名称|CPU 風扇名稱
Automatic: |自动：|自動：
Drag To Reorder (Esc To Cancel)|拖动排序（Esc 取消）|拖曳排序（Esc 取消）
Move Up|上移|上移
Move Down|下移|下移
sensors|传感器|感測器
Waiting for collector|等待采集器|等待擷取程式
Session peaks|本次峰值|本次峰值
STALE|数据过期|資料過期
OFFLINE|离线|離線
Connecting to sensors…|正在连接传感器…|正在連接感測器…
Current used / usable capacity (GB, binary units). Usage stays live in Session Max.|当前用量 / 可用容量（GB，二进制单位）。本次峰值模式仍显示实时用量。|目前用量 / 可用容量（GB，二進位單位）。本次峰值模式仍顯示即時用量。
GPU Fan 1 / GPU Fan 2 telemetry channels. These do not count physical fans.|GPU 风扇 1 / 2 转速通道，不代表实体风扇数量。|GPU 風扇 1 / 2 轉速通道，不代表實體風扇數量。
System glass background is unavailable on this Windows version.|此 Windows 版本不支持系统玻璃背景。|此 Windows 版本不支援系統玻璃背景。
Auto (foreground app)|自动（前台应用）|自動（前景應用程式）
Waiting for target app|等待目标应用|等待目標應用程式
Waiting for FPS collector|等待 FPS 采集器|等待 FPS 擷取程式
Windowed / borderless apps. Auto follows the foreground app; manual selection reconnects after restart. FPS uses the installed collector and application presents, not generated frames.|适用于窗口化或无边框应用。自动跟随前台应用；手动选择会在重启后重连。FPS 由已安装的采集器读取应用提交帧，不包含生成帧。|適用於視窗化或無邊框應用程式。自動跟隨前景應用程式；手動選擇會在重啟後重新連線。FPS 由已安裝的擷取程式讀取應用提交影格，不包含生成影格。
Overlay Background Color|状态条背景颜色|狀態列背景顏色
Background Opacity|背景不透明度|背景不透明度
0% transparent · 100% opaque. Text stays visible.|0% 全透明 · 100% 不透明。文字保持可见。|0% 全透明 · 100% 不透明。文字保持可見。
Preview (sample data)|预览（示例数据）|預覽（範例資料）
Reset Overlay Appearance|重置状态条外观|重設狀態列外觀

Desktop Mode|桌面模式|桌面模式
Edit Desktop|编辑桌面|編輯桌面
Lock Desktop|锁定桌面|鎖定桌面
Readings on your wallpaper, below other apps. Uses the same collector.|数据显示在壁纸上、其他应用下方，复用现有采集程序。|資料顯示在桌布上、其他應用下方，沿用現有採集程式。
Locked: clicks pass through. Unlock to drag the readings.|锁定后鼠标穿透；解锁后可拖动数据区域。|鎖定後滑鼠穿透；解鎖後可拖曳資料區域。
Row Spacing|行间距|行間距
Text Color|文字颜色|文字顏色
Desktop Font Size|桌面字号|桌面字級
Desktop Text Color|桌面文字颜色|桌面文字顏色
Move on Desktop|在桌面上移动|在桌面上移動
Reset Desktop Position|重置桌面位置|重設桌面位置
Done — Lock and Show Desktop View|完成并锁定桌面显示|完成並鎖定桌面顯示
Use the system tray to edit or exit Desktop Mode.|从系统托盘编辑或退出桌面模式。|從系統匣編輯或退出桌面模式。
Waiting for Windows desktop|等待 Windows 桌面|等待 Windows 桌面

GPU Fan|GPU 风扇|GPU 風扇
GPU Fan 1|GPU 风扇 1|GPU 風扇 1
GPU Fan 2|GPU 风扇 2|GPU 風扇 2

Auto Contrast|自动对比度|自動對比度
Text Opacity|文字不透明度|文字不透明度
Adapts light/dark text to nearby wallpaper while the desktop is active. An outline helps on mixed backgrounds.|桌面处于前台时，根据附近壁纸切换深浅文字；描边提升复杂背景上的可读性。|桌面處於前景時，依附近桌布切換深淺文字；描邊提升複雜背景上的可讀性。
Lower opacity reduces readability. Choosing a custom color turns Auto Contrast off.|降低不透明度会影响可读性。选择自定义颜色将关闭自动对比度。|降低不透明度會影響可讀性。選擇自訂顏色將關閉自動對比度。
Enable to preview and edit. Move the readings, then choose Done to lock. Disable to return to the monitor.|开启后预览和编辑，移动数据区域后点击完成锁定；关闭后返回监控窗口。|開啟後預覽和編輯，移動資料區域後點擊完成鎖定；關閉後返回監控視窗。
Edges snap while moving. Drag away to release; Alt temporarily bypasses snapping.|移动时吸附屏幕边缘，拖远即可脱离；Alt 临时关闭吸附。|移動時吸附螢幕邊緣，拖遠即可脫離；Alt 暫時關閉吸附。
Reading Order|数据顺序|資料順序
Drag the handle or use Up / Down keys. Esc cancels a drag. Unavailable readings retain their position.|拖动手柄或使用上下方向键排序，Esc 取消拖动。暂不可用的数据保留顺序。|拖曳控制柄或使用上下方向鍵排序，Esc 取消拖曳。暫不可用的資料保留順序。
Auto Contrast protects text with a local backing and at least 90% opacity. Custom color allows the full opacity range.|自动对比度使用文字局部衬底，并保持至少 90% 不透明度。自定义颜色支持完整不透明度范围。|自動對比度使用文字局部襯底，並保持至少 90% 不透明度。自訂顏色支援完整不透明度範圍。
Colors|配色|配色
Hardware Colors|硬件配色|硬體配色
Unified Color|统一颜色|統一顏色
Monitor icons and temperatures share this palette. Labels stay neutral. Desktop Auto Contrast is independent.|监控图标与温度共用此配色，标签保持中性。桌面自动对比度独立设置。|監控圖示與溫度共用此配色，標籤保持中性。桌面自動對比度獨立設定。
Network|网络|網路
Active adapter|活动网卡|作用中網卡
Download|下行|下載
Upload|上行|上傳
Network Speed Unit|网速单位|網速單位
Shows the busiest adapter, not a sum of overlapping adapters. 1 MB/s = 8 Mbit/s; KB and MB use decimal units.|显示流量最高的网卡，避免重复累计网卡流量。1 MB/s = 8 Mbit/s；KB 和 MB 使用十进制单位。|顯示流量最高的網卡，避免重複累計網卡流量。1 MB/s = 8 Mbit/s；KB 和 MB 使用十進位單位。
Adapts light/dark text to nearby wallpaper. Local backing keeps readings clear on mixed backgrounds.|根据附近壁纸切换深浅文字，局部衬底保护复杂背景上的可读性。|依附近桌布切換深淺文字，局部襯底保護複雜背景上的可讀性。

Desktop|桌面|桌面
Show Desktop View|显示桌面视图|顯示桌面視圖
Desktop Layout|桌面布局|桌面佈局
Desktop Readings|桌面数据|桌面資料
Desktop Appearance|桌面外观|桌面外觀
Columns|列数|欄數
1 column|单列|單欄
2 columns|双列|雙欄
3 columns|三列|三欄
Icons follow App colors|图标跟随 App 颜色|圖示跟隨 App 顏色
When off, icons match Desktop text color.|关闭时，图标跟随桌面文字颜色。|關閉時，圖示跟隨桌面文字顏色。
Show on Desktop|在桌面显示|在桌面顯示
App Cards|App 卡片|App 卡片
Edit Desktop Position|编辑桌面位置|編輯桌面位置
Move the preview, then select Show Desktop View to lock it. Turn Desktop Mode off to return to the App.|移动预览后，选择显示桌面视图以锁定。关闭桌面模式可返回 App。|移動預覽後，選擇顯示桌面視圖以鎖定。關閉桌面模式可返回 App。
Connection|连接|連線
Wi-Fi Signal|Wi-Fi 信号|Wi-Fi 訊號
Use Recommended Style|使用推荐外观|使用建議外觀
Customize Desktop|自定义桌面外观|自訂桌面外觀
Desktop is ready. Right-click the Pulse tray icon to edit or return to the App.|桌面视图已开启。右键点击系统托盘中的 Pulse 图标，可编辑或返回 App。|桌面視圖已開啟。右鍵點擊系統匣中的 Pulse 圖示，可編輯或返回 App。
Adapts text and a single rounded backdrop to keep readings clear.|自动调整文字与统一圆角背景，让数据清晰可读。|自動調整文字與統一圓角背景，讓資料清晰可讀。
Auto Contrast uses a readable panel. Turn it off for transparent text and custom colors.|自动对比度使用易读背景。关闭后可使用透明背景与自定义文字颜色。|自動對比度使用易讀背景。關閉後可使用透明背景與自訂文字顏色。
Auto columns|自动列数|自動欄數

Update to|更新至|更新至
Install and restart|安装并重启|安裝並重新啟動
Retry update|重试更新|重試更新
Installing update…|正在安装更新…|正在安裝更新…

App Appearance|App 外观|App 外觀
Font Size|文字大小|文字大小
App quota display|App 额度显示|App 額度顯示
Essential quotas|精简额度|精簡額度
All available quotas|完整额度|完整額度
Desktop keeps its essential quotas. Drag the handles to reorder the three provider cards.|桌面保留精简额度。拖动把手可调整三个服务卡片的顺序。|桌面保留精簡額度。拖曳把手可調整三個服務卡片的順序。
Drag the center to move. Drag any edge or corner to resize.|拖动中间移动，拖动任意边缘或角落调整大小。|拖曳中間移動，拖曳任意邊緣或角落調整大小。
Done|完成|完成
Return to App|返回 App|返回 App

Select Edit Desktop, then move or resize the panel. Lock it directly on the desktop.|选择编辑桌面，再移动或调整面板大小。在桌面面板上直接锁定。|選擇編輯桌面，再移動或調整面板大小。在桌面面板上直接鎖定。

LAN Link Speed|LAN 连接速率|LAN 連線速率
Wi-Fi Link Speed|Wi-Fi 连接速率|Wi-Fi 連線速率
Traffic adapter|流量网卡|流量網卡
LAN and Wi-Fi link speeds update independently. Download and upload refer to the traffic adapter. Link speed is not Internet speed.|LAN 和 Wi-Fi 连接速率独立更新。上下行属于流量网卡；连接速率不是互联网速度。|LAN 和 Wi-Fi 連線速率獨立更新。上下行屬於流量網卡；連線速率不是網際網路速度。
Always on top|置顶显示|置頂顯示
Show above apps. Locked panels let mouse input pass through. Exclusive fullscreen may hide the panel.|显示在 App 上方；锁定时鼠标可穿透。独占全屏可能遮住面板。|顯示在 App 上方；鎖定時滑鼠可穿透。獨佔全螢幕可能遮住面板。
Topmost background opacity|置顶背景不透明度|置頂背景不透明度
Desktop background opacity|桌面背景不透明度|桌面背景不透明度
Background opacity is separate from text. Topmost uses its own background setting. Desktop blur is not available.|背景与文字不透明度独立。置顶背景单独设置。桌面暂不支持模糊。|背景與文字不透明度獨立。置頂背景單獨設定。桌面暫不支援模糊。
Selected|已选择|已選擇
